Detector,Descriptor,Selector,Img,TTC-Lidar,TTC-Cam,TTC-diff
BRISK,FREAK,SEL_NN,9,15.8894,-0.199673,16.0891
BRISK,FREAK,SEL_NN,10,13.7297,-0.24784,13.9775
BRISK,FREAK,SEL_NN,12,10.1,-0.223784,10.3238
BRISK,FREAK,SEL_NN,14,10.9678,-0.277339,11.2451
BRISK,FREAK,SEL_NN,15,8.09422,-0.229759,8.32398
BRISK,FREAK,SEL_NN,18,8.30978,-0.243742,8.55352

BRISK,FREAK,SEL_KNN,1,12.9722,-0.239498,13.2117
BRISK,FREAK,SEL_KNN,2,12.264,-0.190785,12.4548
BRISK,FREAK,SEL_KNN,3,13.9161,-0.30584,14.222
BRISK,FREAK,SEL_KNN,6,7.50199,-0.208586,7.71058
BRISK,FREAK,SEL_KNN,7,34.3404,-0.226646,34.5671
BRISK,FREAK,SEL_KNN,8,18.7875,-0.207664,18.9952
BRISK,FREAK,SEL_KNN,9,15.8894,-20.0804,35.9698
BRISK,FREAK,SEL_KNN,10,13.7297,36.2278,-22.4982
BRISK,FREAK,SEL_KNN,11,10.4914,-0.415518,10.9069
BRISK,FREAK,SEL_KNN,12,10.1,21.3335,-11.2335
BRISK,FREAK,SEL_KNN,13,9.22307,11.0276,-1.8045
BRISK,FREAK,SEL_KNN,14,10.9678,-1.42007,12.3878
BRISK,FREAK,SEL_KNN,15,8.09422,-1.67685,9.77107
BRISK,FREAK,SEL_KNN,16,8.81392,-0.249961,9.06388
BRISK,FREAK,SEL_KNN,17,10.2926,1.60095,8.6916
BRISK,FREAK,SEL_KNN,18,8.30978,-1.1699,9.47968

ORB,BRISK,SEL_NN,1,12.9722,17.4836,-4.51142
ORB,BRISK,SEL_NN,2,12.264,15.6278,-3.36376
ORB,BRISK,SEL_NN,3,13.9161,17.4865,-3.57039
ORB,BRISK,SEL_NN,4,14.8865,21.3012,-6.41469
ORB,BRISK,SEL_NN,5,12.1873,36.8808,-24.6936
ORB,BRISK,SEL_NN,6,7.50199,12.9729,-5.47086
ORB,BRISK,SEL_NN,7,34.3404,18.99,15.3504
ORB,BRISK,SEL_NN,8,18.7875,11.1,7.68749
ORB,BRISK,SEL_NN,9,15.8894,11.6285,4.26088
ORB,BRISK,SEL_NN,10,13.7297,15.2808,-1.55118
ORB,BRISK,SEL_NN,11,10.4914,7.95795,2.53345
ORB,BRISK,SEL_NN,12,10.1,47.5656,-37.4656
ORB,BRISK,SEL_NN,13,9.22307,7.97816,1.2449
ORB,BRISK,SEL_NN,14,10.9678,9.66412,1.30364
ORB,BRISK,SEL_NN,15,8.09422,8.7785,-0.68428
ORB,BRISK,SEL_NN,16,8.81392,9.37082,-0.556895
ORB,BRISK,SEL_NN,17,10.2926,18.2132,-7.92065
ORB,BRISK,SEL_NN,18,8.30978,18.295,-9.98526

ORB,BRISK,SEL_KNN,1,12.9722,12.1374,0.834794
ORB,BRISK,SEL_KNN,2,12.264,19.8699,-7.60582
ORB,BRISK,SEL_KNN,3,13.9161,9.25038,4.66575
ORB,BRISK,SEL_KNN,4,14.8865,43.2558,-28.3692
ORB,BRISK,SEL_KNN,5,12.1873,161.726,-149.538
ORB,BRISK,SEL_KNN,6,7.50199,11.1075,-3.60549
ORB,BRISK,SEL_KNN,7,34.3404,16.4045,17.936
ORB,BRISK,SEL_KNN,8,18.7875,10.935,7.8525
ORB,BRISK,SEL_KNN,9,15.8894,158.683,-142.794
ORB,BRISK,SEL_KNN,10,13.7297,19.472,-5.74234
ORB,BRISK,SEL_KNN,11,10.4914,7.40879,3.08262
ORB,BRISK,SEL_KNN,12,10.1,-inf,inf
ORB,BRISK,SEL_KNN,13,9.22307,7.53169,1.69138
ORB,BRISK,SEL_KNN,14,10.9678,20.0719,-9.10415
ORB,BRISK,SEL_KNN,15,8.09422,8.73093,-0.636715
ORB,BRISK,SEL_KNN,16,8.81392,17.4753,-8.66141
ORB,BRISK,SEL_KNN,17,10.2926,8.64751,1.64504
ORB,BRISK,SEL_KNN,18,8.30978,29.89,-21.5802

ORB,BRIEF,SEL_NN,1,12.9722,16.4544,-3.48227
ORB,BRIEF,SEL_NN,2,12.264,17.2421,-4.97805
ORB,BRIEF,SEL_NN,3,13.9161,33.9355,-20.0194
ORB,BRIEF,SEL_NN,4,14.8865,26.3184,-11.4319
